indicativo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
3365A,0.0,2.5999999999999996,58.5,28.5,38.8,35.00454545454546,30.1,35.00454545454546,89.0,0.0,45.0,51.2,41.0,31.0,22.2,9.0,0.0,14.2,71.2,68.2,67.39999999999999,59.4,41.4,1.4,39.95861111111111,-4.863611111111111
3469A,142.0,2.8,53.599999999999994,60.6,21.1,10.2,35.699999999999996,84.0,125.5,38.3,42.1,46.900000000000006,39.2,33.9,31.2,56.7,101.0,8.0,111.8,57.0,120.2,99.6,35.8,6.4,39.47138888888889,-6.338888888888889
3519X,142.0,5.0,62.3,87.3,22.2,28.400000000000002,24.5,40.4,133.8,24.7,77.1,80.3,58.4,38.1,48.4,51.7,128.2,8.3,93.9,65.8,106.6,66.3,53.6,5.799999999999999,40.043055555555554,-6.085833333333333
3526X,126.5,4.1,58.5,87.4,22.2,22.799999999999997,24.0,52.55652173913043,18.200000000000003,27.4,74.4,88.4,60.599999999999994,39.4,54.4,42.0,129.0,5.0,74.8,47.4,85.8,62.1,44.2,10.2,40.00361111111111,-6.5575
3576X,109.2,6.8999999999999995,53.3,36.2,17.4,21.1,36.3,47.9,144.5,28.3,75.1,63.3,47.2,22.7,54.400000000000006,71.89999999999999,49.2,6.4,53.6,52.0,107.4,79.0,29.4,5.0,39.414722222222224,-7.231111111111111
4121,124.3,6.2,52.0,15.5,65.5,8.7,42.5,127.2,136.6,33.699999999999996,54.1,49.699999999999996,59.8,55.300000000000004,29.9,42.2,103.00000000000001,43.2,53.800000000000004,88.2,50.1,66.8,66.0,1.8,38.98916666666667,-3.9202777777777778
4358X,100.4,6.4,46.6,19.2,16.9,8.2,9.5,110.2,75.5,21.6,61.4,50.0,68.2,15.4,50.6,50.6,67.6,31.8,87.4,52.0,90.39999999999999,51.2,40.2,5.2,38.955555555555556,-5.880555555555556
4410X,126.6,1.2,41.4,54.6,10.100000000000001,9.9,6.9,64.0,71.5,24.7,38.5,34.9,7.3,25.4,43.2,34.4,74.2,29.0,84.2,34.7,69.9,113.39999999999999,34.6,7.6,38.91583333333333,-6.385555555555556
4452,160.6,12.3,43.300000000000004,42.1,7.4,7.1000000000000005,29.0,57.8,84.1,30.6,71.8,78.5,31.5,16.7,41.0,48.8,75.0,5.0,71.8,34.8,83.4,69.0,29.2,7.4,38.88333333333333,-6.813888888888889
4642E,110.10000000000001,9.3,66.6,98.1,29.8,15.0,34.2,47.7,123.39999999999999,32.0,77.8,70.9,8.8,18.8,64.0,63.8,65.4,131.2,83.8,43.6,65.4,21.6,33.4,1.0,37.27833333333333,-6.911666666666667
